,ubicación,precio,detalles,tipo_vivienda,barrios,habitaciones,metros
16,Piso en calle de Manuel Maroto  San Diego  Madrid,830,2 hab 56 m Planta 3 exterior sin ascensor 19 horas,Piso,"San Diego, Madrid",2 hab, 56 m
17,Piso en calle Alcalde Sáenz de Baranda  Ibiza  Madrid,2700,4 hab 157 m Planta 2 exterior con ascensor,Piso,"Ibiza, Madrid",4 hab, 157 m
18,Piso en avenida de América  Prosperidad  Madrid,2400,2 hab 94 m Planta 4 exterior con ascensor 19 horas,Piso,"Prosperidad, Madrid",2 hab, 94 m
19,Casa o chalet independiente en calle de Arévalo Lara  Salvador  Madrid,2700,4 hab 200 m 04 sep,Chalet,"El Salvador, Madrid",4 hab, 200 m
20,Piso en calle Manuel María Iglesias  San Juan Bautista  Madrid,3800,5 hab 214 m Planta 2 exterior con ascensor 19 horas,Piso,"San Juan Bautista, Madrid",5 hab, 214 m
21,Piso en calle de Hermosilla  Goya  Madrid,1365,2 hab 56 m Planta 1 interior con ascensor,Piso,"Goya, Madrid",2 hab, 56 m
22,Piso en Soto Hidalgo  4  Alameda de Osuna  Madrid,1400,4 hab 126 m Planta 4 exterior con ascensor 19 horas,Piso,"Alamenda de Osuna, Madrid",4 hab, 126 m
23,Piso en calle de Cartagena  Guindalera  Madrid,1300,1 hab 79 m Planta 4 exterior con ascensor,Piso,"Guindalera, Madrid",1 hab, 79 m
24,Piso en calle Santiago Cuende  5  Puerta Bonita  Madrid,850,2 hab 55 m Bajo exterior sin ascensor 19 horas,Piso,"Puerta Bonita, Madrid",2 hab, 55 m
25,Piso en calle de Diego de León  Castellana  Madrid,3300,3 hab 169 m Planta 6 exterior con ascensor,Piso,"Castellana, Madrid",3 hab, 169 m
26,Casa o chalet independiente en Conde OrgazPiovera  Madrid,10000,6 hab 447 m 19 horas,Chalet,"Piovera, Madrid",6 hab, 447 m
27,Piso en calle del Pintor Ignacio de Zuloaga  2  Sanchinarro  Madrid,1215,2 hab 76 m Planta 3 con ascensor 04 sep,Piso,"Sanchinarro, Madrid",2 hab, 76 m
28,Piso en Peñagrande  Madrid,3200,4 hab 238 m Planta 6 exterior con ascensor 19 horas,Piso,"Peñagrande, Madrid",4 hab, 238 m
29,Ático en plaza de Juan Zorrilla  Vallehermoso  Madrid,2300,3 hab 138 m Planta 7 exterior con ascensor,Ático,"Vallehermoso, Madrid",3 hab, 138 m
0,Piso en Peñagrande  Madrid,3200,4 hab 238 m Planta 6 exterior con ascensor 19 horas,Piso,"Peñagrande, Madrid",4 hab, 238 m
1,Ático en plaza de Juan Zorrilla  Vallehermoso  Madrid,2300,3 hab 138 m Planta 7 exterior con ascensor,Ático,"Vallehermoso, Madrid",3 hab, 138 m
2,Ático en calle de ODonnell  40  Ibiza  Madrid,3600,3 hab 150 m Planta 8 exterior con ascensor 19 horas,Ático,"Ibiza, Madrid",3 hab, 150 m
3,Piso en calle de Santa Isabel  42  LavapiésEmbajadores  Madrid,1490,2 hab 76 m Planta 3 exterior con ascensor 23 horas,Piso,"Embajadores, Madrid",2 hab, 76 m
4,Piso en Cava Baja  Palacio  Madrid,2200,3 hab 110 m Planta 3 exterior con ascensor 19 horas,Piso,"Palacio, Madrid",3 hab, 110 m
5,Piso en calle del Divino Pastor  MalasañaUniversidad  Madrid,1800,2 hab 77 m Planta 1 exterior con ascensor,Piso,"Universidad, Madrid",2 hab, 77 m
6,Piso en calle de la Villa de Marín  29  La Paz  Madrid,1800,4 hab 137 m Planta 11 exterior con ascensor 19 horas,Piso,"La Paz, Madrid",4 hab, 137 m
7,Piso en calle Donoso Cortés  Gaztambide  Madrid,3000,5 hab 130 m Planta 5 exterior con ascensor,Piso,"Gaztambide, Madrid",5 hab, 130 m
8,Piso en calle del Puerto del Bruch  Casco Histórico de Vallecas  Madrid,910,3 hab 58 m Planta 4 exterior sin ascensor 20 horas,Piso,"Ensanche de Vallecas, Madrid",3 hab, 58 m
9,Piso en avenida del talgo  Aravaca  Madrid,1200,2 hab 70 m Planta 4 exterior con ascensor,Piso,"Aravaca, Madrid",2 hab, 70 m
10,Piso en calle de Dulce Chacón  Virgen del Cortijo  Manoteras  Madrid,3000,3 hab 160 m Planta 1 interior con ascensor 20 horas,Piso,"Manoteras, Madrid",3 hab, 160 m
11,Piso en Estrella  Madrid,2500,3 hab 165 m exterior con ascensor,Piso,"Estrella, Madrid",3 hab, 165 m
12,Piso en Arturo soria  Costillares  Madrid,1390,3 hab 110 m Bajo exterior con ascensor 18 horas,Piso,"Costillares, Madrid",3 hab, 110 m
13,Piso en calle Anna Frank  19  El Cañaveral  Madrid,1395,3 hab 132 m Bajo exterior con ascensor,Piso,"El Cañaveral, Madrid",3 hab, 132 m
14,Piso en calle del Espíritu Santo  24  MalasañaUniversidad  Madrid,1300,1 hab 50 m Planta 1 exterior con ascensor 20 horas,Piso,"Universidad, Madrid",1 hab, 50 m
15,Piso en MalasañaUniversidad  Madrid,3100,3 hab 170 m exterior con ascensor,Piso,"Universidad, Madrid",3 hab, 170 m
16,Piso en calle de Joaquín Martín  Opañel  Madrid,800,1 hab 50 m Planta 2 exterior sin ascensor 19 horas,Piso,"Opañel, Madrid",1 hab, 50 m
17,Piso en Castilla  Madrid,3950,3 hab 171 m Planta 1 exterior con ascensor,Piso,"Castilla, Madrid",3 hab, 171 m
18,Piso en avenida de Secundino Zuazo  73  Valdebebas  Valdefuentes  Madrid,1150,3 hab 120 m Planta 3 exterior con ascensor 20 horas,Piso,"Valdefuentes, Madrid",3 hab, 120 m
19,Piso en Argüelles  Madrid,2500,1 hab 73 m Planta 12 exterior con ascensor,Piso,"Argüelles, Madrid",1 hab, 73 m
20,Piso en calle de Ocaña  56  Aluche  Madrid,850,3 hab 70 m Bajo exterior con ascensor 20 horas,Piso,"Aluche, Madrid",3 hab, 70 m
21,Piso en calle de Tribulete  LavapiésEmbajadores  Madrid,1100,2 hab 47 m Planta 2 exterior con ascensor,Piso,"Embajadores, Madrid",2 hab, 47 m
22,Piso en avenida Moratalaz  Vinateros  Madrid,775,2 hab 64 m Planta 4 exterior con ascensor 20 horas,Piso,"Vinateros, Madrid",2 hab, 64 m
23,Piso en plaza de las Cortes  HuertasCortes  Madrid,1500,1 hab 60 m Planta 5 exterior con ascensor,Piso,"Cortes, Madrid",1 hab, 60 m
24,Piso en calle del Olivar  LavapiésEmbajadores  Madrid,1100,1 hab 38 m Planta 3 exterior sin ascensor 20 horas,Piso,"Embajadores, Madrid",1 hab, 38 m
25,Piso en calle Anna Frank  19  El Cañaveral  Madrid,1115,2 hab 94 m Planta 1 exterior con ascensor,Piso,"El Cañaveral, Madrid",2 hab, 94 m
26,Piso en paseo de Santa María de la Cabeza  124  Comillas  Madrid,1100,3 hab 59 m Planta 5 exterior con ascensor 20 horas,Piso,"Comillas, Madrid",3 hab, 59 m
27,Piso en calle del Prado  HuertasCortes  Madrid,1490,2 hab 110 m Planta 1 interior con ascensor,Piso,"Cortes, Madrid",2 hab, 110 m
28,Dúplex en calle de la ribera de curtidores  16  LavapiésEmbajadores  Madrid,825,2 hab 58 m Planta 4 exterior sin ascensor 20 horas,Dúplex,"Embajadores, Madrid",2 hab, 58 m
29,Piso en calle de Francisco Silvela  Lista  Madrid,1590,1 hab 54 m Planta 1 exterior con ascensor,Piso,"Lista, Madrid",1 hab, 54 m
0,Piso en Almagro  Madrid,2700,3 hab 141 m Bajo interior con ascensor 20 horas,Piso,"Almagro, Madrid",3 hab, 141 m
1,Piso en Paseo De La Castellana  201  VentillaAlmenara  Madrid,1900,2 hab 90 m Planta 5 exterior con ascensor,Piso,"Almenara, Madrid",2 hab, 90 m
2,Piso en LavapiésEmbajadores  Madrid,1450,2 hab 70 m Planta 4 exterior con ascensor 20 horas,Piso,"Embajadores, Madrid",2 hab, 70 m
3,Piso en paseo Castellana  203  VentillaAlmenara  Madrid,1900,2 hab 90 m Planta 5 exterior con ascensor,Piso,"Almenara, Madrid",2 hab, 90 m
4,Piso en calle del General Margallo  24  CuzcoCastillejos  Madrid,1200,2 hab 70 m Planta 1 interior con ascensor 20 horas,Piso,"Castillejos, Madrid",2 hab, 70 m
5,Piso en calle del Gasómetro  Acacias  Madrid,1900,3 hab 110 m Bajo exterior sin ascensor 23 horas,Piso,"Acacias, Madrid",3 hab, 110 m
6,Piso en calle de Camarena  112  Aluche  Madrid,950,4 hab 70 m Bajo exterior sin ascensor 20 horas,Piso,"Aluche, Madrid",4 hab, 70 m
7,Piso en calle de Astorga  Ventas  Madrid,1400,3 hab 75 m Bajo exterior con ascensor,Piso,"Ventas, Madrid",3 hab, 75 m
8,Piso en paseo de La Habana  46  El Viso  Madrid,1900,3 hab 113 m Planta 4 exterior con ascensor 21 horas,Piso,"El Viso, Madrid",3 hab, 113 m
9,Piso en alameda de osuna  50  Alameda de Osuna  Madrid,1700,3 hab 156 m Planta 3 exterior con ascensor,Piso,"Alamenda de Osuna, Madrid",3 hab, 156 m
10,Piso en paseo de La Habana  BernabéuHispanoamérica  Madrid,2600,4 hab 165 m Planta 5 exterior con ascensor 21 horas,Piso,"Hispanoamérica, Madrid",4 hab, 165 m
11,Piso en calle del Conde de Aranda  Recoletos  Madrid,1900,1 hab 43 m Planta 6 interior con ascensor,Piso,"Recoletos, Madrid",1 hab, 43 m
12,Piso en calle de la Costa Brava  47  Mirasierra  Madrid,2800,4 hab 187 m Planta 6 exterior con ascensor 21 horas,Piso,"Mirasierra, Madrid",4 hab, 187 m
13,Piso en El Santo de la Isidra  10  Los Ángeles  Madrid,800,1 hab 66 m Planta 4 exterior con ascensor,Piso,"Ángeles, Madrid",1 hab, 66 m
14,Piso en calle de Federico Grases  Puerta Bonita  Madrid,750,3 hab 63 m Planta 1 exterior sin ascensor 21 horas,Piso,"Puerta Bonita, Madrid",3 hab, 63 m
15,Piso en Canillas  Madrid,4500,4 hab 323 m Planta 7 exterior con ascensor,Piso,"Canillas, Madrid",4 hab, 323 m
16,Piso en calle San Severo  sn  Alameda de Osuna  Madrid,2000,3 hab 186 m Planta 2 exterior con ascensor 21 horas,Piso,"Alamenda de Osuna, Madrid",3 hab, 186 m
17,Piso en calle la Granja de San Ildefonso  28  Ensanche de Vallecas  La Gavia  Madrid,1000,2 hab 73 m Planta 2 exterior con ascensor,Piso,"Gavia, Madrid",2 hab, 73 m
18,Piso en BernabéuHispanoamérica  Madrid,2200,3 hab 102 m Planta 1 exterior con ascensor 21 horas,Piso,"Hispanoamérica, Madrid",3 hab, 102 m
19,Piso en calle de Maldonado  Lista  Madrid,3450,4 hab 200 m Planta 2 exterior con ascensor,Piso,"Lista, Madrid",4 hab, 200 m
20,Piso en calle Martín Muñoz de las Posadas  7  Ensanche de Vallecas  La Gavia  Madrid,1095,3 hab 105 m Planta 6 con ascensor 21 horas,Piso,"Gavia, Madrid",3 hab, 105 m
21,Piso en calle la Canción del Olvido  62  Los Ángeles  Madrid,932,2 hab 74 m Planta 1 exterior con ascensor,Piso,"Ángeles, Madrid",2 hab, 74 m
22,Ático en calle Víctor Hugo  5  ChuecaJusticia  Madrid,2500,3 hab 148 m Planta 6 exterior con ascensor 21 horas,Ático,"Justicia, Madrid",3 hab, 148 m
23,Piso en calle de Caramuel  Puerta del Ángel  Madrid,1650,2 hab 67 m Planta 1 exterior sin ascensor,Piso,"Puerta del Ángel, Madrid",2 hab, 67 m
24,Piso en calle de Orense  12  Cuatro Caminos  Madrid,1100,1 hab 60 m Planta 6 exterior con ascensor 21 horas,Piso,"Cuatro Caminos, Madrid",1 hab, 60 m
25,Piso en calle del Lucero del Alba  1  Los Ángeles  Madrid,940,2 hab 74 m Planta 4 exterior con ascensor,Piso,"Ángeles, Madrid",2 hab, 74 m
26,Piso en calle de José María de Pereda  Ventas  Madrid,790,2 hab 69 m Planta 1 exterior con ascensor 21 horas,Piso,"Ventas, Madrid",2 hab, 69 m
27,Piso en calle Arte Pop  8  Ensanche de Vallecas  La Gavia  Madrid,820,1 hab 48 m Planta 7 exterior con ascensor,Piso,"Gavia, Madrid",1 hab, 48 m
28,Piso en calle de Rafael Herrera  11  Castilla  Madrid,1300,1 hab 55 m Planta 5 exterior con ascensor 21 horas,Piso,"Castilla, Madrid",1 hab, 55 m
29,Piso en calle de Caramuel  Puerta del Ángel  Madrid,1650,2 hab 86 m Planta 1 exterior sin ascensor,Piso,"Puerta del Ángel, Madrid",2 hab, 86 m
0,Piso en bulevar de José Prat  Valdebernardo  Valderrivas  Madrid,970,3 hab 95 m Planta 5 exterior con ascensor 21 horas,Piso,"Valderrivas, Madrid",3 hab, 95 m
1,Piso en calle Arte Pop  8  Ensanche de Vallecas  La Gavia  Madrid,975,2 hab 80 m Planta 5 exterior con ascensor,Piso,"Gavia, Madrid",2 hab, 80 m
2,Piso en calle Víctor Andrés Belaunde  BernabéuHispanoamérica  Madrid,1300,1 hab 55 m Planta 1 interior con ascensor 21 horas,Piso,"Hispanoamérica, Madrid",1 hab, 55 m
3,Piso en calle de Atocha  HuertasCortes  Madrid,1300,1 hab 64 m Bajo interior con ascensor,Piso,"Cortes, Madrid",1 hab, 64 m
4,Piso en Corredera Baja de San Pablo  47  MalasañaUniversidad  Madrid,990,1 hab 60 m Sótano exterior con ascensor 21 horas,Piso,"Universidad, Madrid",1 hab, 60 m
5,Piso en Castellana  Madrid,5500,4 hab 220 m Planta 1 exterior con ascensor,Piso,"Castellana, Madrid",4 hab, 220 m
6,Piso en calle de Alcalá  Ventas  Madrid,750,1 hab 55 m Planta 1 exterior sin ascensor 21 horas,Piso,"Ventas, Madrid",1 hab, 55 m
7,Piso en Colina  Madrid,3500,4 hab 211 m Planta 1 exterior con ascensor,Piso,"Colina, Madrid",4 hab, 211 m
8,Piso en calle de Ricardo Ortiz  Ventas  Madrid,1190,3 hab 106 m Planta 3 exterior con ascensor 21 horas,Piso,"Ventas, Madrid",3 hab, 106 m
9,Piso en calle de Modesto Lafuente  Nuevos MinisteriosRíos Rosas  Madrid,2100,3 hab 144 m Planta 3 exterior con ascensor,Piso,"Ríos Rosas, Madrid",3 hab, 144 m
10,Piso en calle del Doctor Vallejo  Quintana  Madrid,900,2 hab 60 m Planta 3 exterior sin ascensor 21 horas,Piso,"Quintana, Madrid",2 hab, 60 m
11,Casa o chalet independiente en Armonía  24  Palomas  Madrid,7000,4 hab 331 m,Chalet,"Palomas, Madrid",4 hab, 331 m
12,Piso en Numancia  Madrid,1200,3 hab 75 m Planta 2 exterior con ascensor 21 horas,Piso,"Numancia, Madrid",3 hab, 75 m
13,Piso en calle de Linneo  Imperial  Madrid,1650,3 hab 103 m Planta 3 interior con ascensor,Piso,"Imperial, Madrid",3 hab, 103 m
14,Piso en calle Jerez de los Caballeros  2  Casco Histórico de Barajas  Madrid,750,1 hab 45 m Planta 2 exterior con ascensor 21 horas,Piso,"Barajas, Madrid",1 hab, 45 m
15,Piso en Castellana  Madrid,14500,3 hab 373 m Planta 2 exterior con ascensor,Piso,"Castellana, Madrid",3 hab, 373 m
16,Piso en calle de los Yébenes  Aluche  Madrid,1150,3 hab 104 m Planta 4 exterior con ascensor 21 horas,Piso,"Aluche, Madrid",3 hab, 104 m
17,Piso en calle de Miguel Ángel  3  Almagro  Madrid,2200,1 hab 55 m Planta 7 interior con ascensor,Piso,"Almagro, Madrid",1 hab, 55 m
18,Piso en Rejas  Madrid,1350,1 hab 51 m Planta 1 exterior con ascensor 21 horas,Piso,"Rejas, Madrid",1 hab, 51 m
19,Piso en ChuecaJusticia  Madrid,1350,1 hab 45 m Planta 4 interior con ascensor,Piso,"Justicia, Madrid",1 hab, 45 m
20,Piso en calle de las Islas Cíes  Peñagrande  Madrid,1100,4 hab 100 m Planta 6 exterior con ascensor 21 horas,Piso,"Peñagrande, Madrid",4 hab, 100 m
21,Piso en BernabéuHispanoamérica  Madrid,2500,2 hab 120 m Planta 9 exterior con ascensor,Piso,"Hispanoamérica, Madrid",2 hab, 120 m
22,Piso en calle del Real Madrid  Puerta Bonita  Madrid,960,3 hab 61 m Planta 2 exterior sin ascensor 21 horas,Piso,"Puerta Bonita, Madrid",3 hab, 61 m
23,Chalet pareado en Conde OrgazPiovera  Madrid,4500,5 hab 313 m,Chalet,"Piovera, Madrid",5 hab, 313 m
24,Piso en calle de los Tejedores  Amposta  Madrid,910,3 hab 62 m Planta 2 exterior sin ascensor 21 horas,Piso,"Amposta, Madrid",3 hab, 62 m
25,Piso en BernabéuHispanoamérica  Madrid,2200,2 hab 114 m Planta 2 exterior con ascensor,Piso,"Hispanoamérica, Madrid",2 hab, 114 m
26,Piso en Goya  Madrid,950,1 hab 50 m Planta 4 exterior con ascensor 21 horas,Piso,"Goya, Madrid",1 hab, 50 m
27,Piso en calle de Ayala  Goya  Madrid,3800,2 hab 111 m Planta 3 exterior con ascensor,Piso,"Goya, Madrid",2 hab, 111 m
28,Piso en calle de ODonnell  Goya  Madrid,4500,3 hab 179 m Planta 2 exterior con ascensor 21 horas,Piso,"Goya, Madrid",3 hab, 179 m
29,Piso en Almagro  Madrid,15000,10 hab 1400 m Planta 4 exterior con ascensor,Piso,"Almagro, Madrid",10 hab, 1400
0,Piso en calle de Santa Cruz de Mudela  Almendrales  Madrid,900,4 hab 80 m Planta 4 exterior con ascensor 21 horas,Piso,"Almendrales, Madrid",4 hab, 80 m
1,Piso en calle de Lagasca  Recoletos  Madrid,3500,1 hab 150 m Planta 6 exterior con ascensor,Piso,"Recoletos, Madrid",1 hab, 150 m
2,Piso en calle de Francisco Suárez  Nueva España  Madrid,2400,4 hab 150 m Planta 3 exterior con ascensor 21 horas,Piso,"Nueva España, Madrid",4 hab, 150 m
3,Piso en calle Anna Frank  19  El Cañaveral  Madrid,1085,2 hab 85 m Planta 3 exterior con ascensor,Piso,"El Cañaveral, Madrid",2 hab, 85 m
4,Piso en calle del Espejo  Palacio  Madrid,1700,2 hab 70 m Planta 3 interior con ascensor 1 hora,Piso,"Palacio, Madrid",2 hab, 70 m
5,Dúplex en calle de Lagasca  Castellana  Madrid,9000,5 hab 320 m Planta 5 exterior con ascensor,Dúplex,"Castellana, Madrid",5 hab, 320 m
6,Piso en Niño Jesús  Madrid,3700,4 hab 214 m Planta 6 exterior con ascensor 21 horas,Piso,"Niño Jesús, Madrid",4 hab, 214 m
7,Piso en Nueva España  Madrid,3500,4 hab 210 m exterior con ascensor,Piso,"Nueva España, Madrid",4 hab, 210 m
8,Piso en calle del Porvenir  Fuente del Berro  Madrid,1200,2 hab 67 m Planta 2 exterior sin ascensor 22 horas,Piso," Fuente del Berro, Madrid",2 hab, 67 m
9,Ático en calle Anna Frank  19  El Cañaveral  Madrid,1325,2 hab 114 m Planta 7 exterior con ascensor,Ático,"El Cañaveral, Madrid",2 hab, 114 m
10,Piso en calle del Limón  MalasañaUniversidad  Madrid,1500,3 hab 80 m Planta 4 exterior sin ascensor 22 horas,Piso,"Universidad, Madrid",3 hab, 80 m
11,Casa o chalet independiente en Valdemarín  Madrid,5250,5 hab 343 m,Chalet,"Valdemarín, Madrid",5 hab, 343 m
12,Piso en calle de Alucas  4  Pueblo Nuevo  Madrid,850,2 hab 55 m Planta 3 exterior con ascensor 22 horas,Piso,"Pueblo Nuevo, Madrid",2 hab, 55 m
13,Piso en Vallehermoso  Madrid,2600,3 hab 173 m Planta 8 exterior con ascensor,Piso,"Vallehermoso, Madrid",3 hab, 173 m
14,Piso en calle drácena  Nueva España  Madrid,1500,2 hab 80 m Planta 1 exterior con ascensor 22 horas,Piso,"Nueva España, Madrid",2 hab, 80 m
15,Ático en calle Arroyo del Cañaveral  66  El Cañaveral  Madrid,1595,1 hab 64 m Planta 7 exterior con ascensor,Ático,"El Cañaveral, Madrid",1 hab, 64 m
16,Piso en calle del Conde de Peñalver  83  Lista  Madrid,2200,2 hab 65 m Planta 4 interior con ascensor 22 horas,Piso,"Lista, Madrid",2 hab, 65 m
17,Piso en calle de Lagasca  99  Castellana  Madrid,14000,4 hab 355 m Planta 6 exterior con ascensor,Piso,"Castellana, Madrid",4 hab, 355 m
18,Piso en calle Provisiones  LavapiésEmbajadores  Madrid,1650,3 hab 87 m Planta 5 exterior con ascensor 1 hora,Piso,"Embajadores, Madrid",3 hab, 87 m
19,Piso en calle de las Viñas del Rio  16  Butarque  Madrid,1150,3 hab 93 m Planta 1 exterior con ascensor,Piso,"Butarque, Madrid",3 hab, 93 m
20,Ático en Trafalgar  Madrid,2100,1 hab 83 m Planta 6 exterior con ascensor 22 horas,Ático,"Trafalgar, Madrid",1 hab, 83 m
21,Ático en calle de Núñez de Balboa  Castellana  Madrid,6950,5 hab 268 m Planta 6 exterior con ascensor,Ático,"Castellana, Madrid",5 hab, 268 m
22,Ático en calle de Palafox  Trafalgar  Madrid,3900,2 hab 89 m Planta 5 exterior sin ascensor 22 horas,Ático,"Trafalgar, Madrid",2 hab, 89 m
23,Piso en calle de las Viñas del Rio  16  Butarque  Madrid,825,1 hab 50 m Planta 1 exterior con ascensor,Piso,"Butarque, Madrid",1 hab, 50 m
24,Piso en calle de Don Ramón de la Cruz  Castellana  Madrid,5500,4 hab 230 m Planta 1 exterior con ascensor 22 horas,Piso,"Castellana, Madrid",4 hab, 230 m
25,Piso en calle de las Viñas del Rio  16  Butarque  Madrid,995,2 hab 83 m Planta 1 exterior con ascensor,Piso,"Butarque, Madrid",2 hab, 83 m
26,Piso en calle de Diego de León  Lista  Madrid,2700,4 hab 146 m Planta 4 exterior con ascensor 22 horas,Piso,"Lista, Madrid",4 hab, 146 m
27,Dúplex en calle de la Buganvilla  4  Castilla  Madrid,3100,4 hab 318 m Planta 4 exterior con ascensor,Dúplex,"Castilla, Madrid",4 hab, 318 m
28,Piso en calle de Benito Gutiérrez  35  Argüelles  Madrid,2200,3 hab 105 m Planta 1 exterior con ascensor 22 horas,Piso,"Argüelles, Madrid",3 hab, 105 m
29,Piso en Fuente del Berro  Madrid,3300,4 hab 165 m exterior con ascensor,Piso," Fuente del Berro, Madrid",4 hab, 165 m
0,Piso en aurora  Valdezarza  Madrid,1000,1 hab 42 m Planta 1 exterior sin ascensor 28 minutos,Piso,"Valdezarza, Madrid",1 hab, 42 m
1,Piso en calle de Caleruega  50  Costillares  Madrid,2675,3 hab 180 m Planta 22 exterior con ascensor,Piso,"Costillares, Madrid",3 hab, 180 m
2,Piso en Puerta Bonita  Madrid,900,2 hab 55 m Bajo exterior sin ascensor 30 minutos,Piso,"Puerta Bonita, Madrid",2 hab, 55 m
3,Piso en El Viso  Madrid,1600,2 hab 90 m Planta 2 exterior con ascensor,Piso,"El Viso, Madrid",2 hab, 90 m
4,Piso en plaza de Monterrey  Apóstol Santiago  Madrid,850,3 hab 71 m Planta 3 exterior sin ascensor 30 minutos,Piso,"Apóstol Santiago, Madrid",3 hab, 71 m
5,Piso en calle del Pintor Ignacio de Zuloaga  2  Sanchinarro  Madrid,1225,2 hab 76 m Planta 5 con ascensor 2 horas,Piso,"Sanchinarro, Madrid",2 hab, 76 m
6,Estudio en cuesta de las Descargas  8  Palacio  Madrid,750,40 m Planta 1 exterior con ascensor 31 minutos,Estudio,"Palacio, Madrid",0 estudio,0 estudio
7,Piso en calle de María de Molina  Castellana  Madrid,2500,2 hab 85 m Planta 2 exterior con ascensor,Piso,"Castellana, Madrid",2 hab, 85 m
8,Piso en calle Félix Boix  32  Nueva España  Madrid,7800,3 hab 590 m Planta 5 exterior con ascensor 33 minutos,Piso,"Nueva España, Madrid",3 hab, 590 m
9,Piso en paseo Marqués de Monistrol  Puerta del Ángel  Madrid,1550,2 hab 60 m Planta 8 exterior con ascensor,Piso,"Puerta del Ángel, Madrid",2 hab, 60 m
10,Piso en avenida de Portugal  177  Puerta del Ángel  Madrid,1200,3 hab 87 m Planta 4 exterior con ascensor 34 minutos,Piso,"Puerta del Ángel, Madrid",3 hab, 87 m
11,Piso en calle Embajadores  LavapiésEmbajadores  Madrid,1200,1 hab 75 m Planta 1 exterior con ascensor,Piso,"Embajadores, Madrid",1 hab, 75 m
12,Piso en calle de Carlos Arniches  LavapiésEmbajadores  Madrid,760,1 hab 35 m Bajo interior con ascensor 19 minutos,Piso,"Embajadores, Madrid",1 hab, 35 m
13,Chalet adosado en Ensanche de Vallecas  La Gavia  Madrid,1600,5 hab 275 m,Chalet,"Gavia, Madrid",5 hab, 275 m
14,Piso en calle de Hermosilla  Recoletos  Madrid,4100,3 hab 180 m Planta 4 exterior con ascensor 13 minutos,Piso,"Recoletos, Madrid",3 hab, 180 m
15,Piso en calle de Núñez de Balboa  Recoletos  Madrid,4200,4 hab 200 m Planta 5 exterior con ascensor,Piso,"Recoletos, Madrid",4 hab, 200 m
16,Piso en calle de José Antonio Navarrete  Conde OrgazPiovera  Madrid,1590,2 hab 116 m Planta 2 exterior con ascensor 38 minutos,Piso,"Piovera, Madrid",2 hab, 116 m
17,Piso en calle de Isabel Clara Eugenia  43  Sanchinarro  Madrid,1340,2 hab 88 m Planta 4 exterior con ascensor,Piso,"Sanchinarro, Madrid",2 hab, 88 m
18,Piso en calle de José Antonio Navarrete  Conde OrgazPiovera  Madrid,1955,3 hab 107 m Planta 3 exterior con ascensor 39 minutos,Piso,"Piovera, Madrid",3 hab, 107 m
19,Piso en calle de ODonnell  Goya  Madrid,9000,4 hab 350 m Planta 5 exterior con ascensor,Piso,"Goya, Madrid",4 hab, 350 m
20,Piso en calle de José Antonio Navarrete  Conde OrgazPiovera  Madrid,1395,2 hab 80 m Planta 1 exterior con ascensor 39 minutos,Piso,"Piovera, Madrid",2 hab, 80 m
21,Piso en calle de Lombía  Goya  Madrid,2400,2 hab 82 m Planta 5 exterior con ascensor,Piso,"Goya, Madrid",2 hab, 82 m
22,Piso en avenida de Machupichu  Conde OrgazPiovera  Madrid,1060,1 hab 39 m Planta 1 exterior con ascensor 39 minutos,Piso,"Piovera, Madrid",1 hab, 39 m
23,Piso en Goya  Madrid,2300,1 hab 106 m exterior con ascensor 01 sep,Piso,"Goya, Madrid",1 hab, 106 m
24,Piso en calle Manuel Aleixandre  12  Legazpi  Madrid,910,2 hab 40 m Planta 1 exterior con ascensor 38 minutos,Piso,"Legazpi, Madrid",2 hab, 40 m
25,Piso en plaza de Cascorro  LavapiésEmbajadores  Madrid,2700,2 hab 94 m Planta 5 exterior con ascensor,Piso,"Embajadores, Madrid",2 hab, 94 m
26,Piso en avenida del Papa Negro  Conde OrgazPiovera  Madrid,1460,2 hab 101 m exterior con ascensor 40 minutos,Piso,"Piovera, Madrid",2 hab, 101 m
27,Piso en calle de Fernando VI  ChuecaJusticia  Madrid,3000,3 hab 124 m Planta 2 exterior con ascensor,Piso,"Justicia, Madrid",3 hab, 124 m
28,Piso en Lucero  Madrid,1100,3 hab 78 m Planta 3 con ascensor 42 minutos,Piso,"Lucero, Madrid",3 hab, 78 m
29,Piso en Castillo de Cadanchu  Las Tablas  Madrid,1300,2 hab 100 m Planta 1 exterior con ascensor,Piso,"Tablas, Madrid",2 hab, 100 m
0,Piso en calle de Benito Gutiérrez  35  Argüelles  Madrid,2200,3 hab 105 m Planta 1 exterior con ascensor 22 horas,Piso,"Argüelles, Madrid",3 hab, 105 m
1,Dúplex en calle de la Buganvilla  4  Castilla  Madrid,3100,4 hab 318 m Planta 4 exterior con ascensor,Dúplex,"Castilla, Madrid",4 hab, 318 m
2,Piso en Montecarmelo  Madrid,1400,2 hab 103 m Planta 2 exterior con ascensor 23 horas,Piso,"Montecarmelo, Madrid",2 hab, 103 m
3,Piso en BernabéuHispanoamérica  Madrid,1900,2 hab 70 m Planta 2 exterior sin ascensor,Piso,"Hispanoamérica, Madrid",2 hab, 70 m
4,Piso en Ibiza  Madrid,2500,3 hab 120 m Planta 7 interior con ascensor 23 horas,Piso,"Ibiza, Madrid",3 hab, 120 m
