,ubicación,precio,detalles,tipo_vivienda,barrios,habitaciones,metros
7,Piso en calle de San Bernardo  MalasañaUniversidad  Madrid,3600,2 hab 90 m Planta 3 exterior con ascensor,Piso,"Universidad, Madrid",2 hab, 90 m
8,Piso en calle Alonso Heredia  29  Guindalera  Madrid,1200,3 hab 98 m Planta 2 exterior con ascensor 13 horas,Piso,"Guindalera, Madrid",3 hab, 98 m
9,Casa o chalet independiente en El Plantío  Madrid,12000,8 hab 1200 m,Chalet,"El Plantío, Madrid",8 hab, 1200
10,Piso en calle Sagasta  Trafalgar  Madrid,1750,1 hab 95 m Planta 5 exterior con ascensor 13 horas,Piso,"Trafalgar, Madrid",1 hab, 95 m
11,Piso en calle de Jesús de Polanco  Peñagrande  Madrid,2000,2 hab 98 m Planta 1 exterior con ascensor,Piso,"Peñagrande, Madrid",2 hab, 98 m
12,Piso en Conde de Aranda  10  Recoletos  Madrid,8370,3 hab 180 m Planta 3 exterior con ascensor 14 horas,Piso,"Recoletos, Madrid",3 hab, 180 m
13,Piso en calle de Hermosilla  Goya  Madrid,1450,2 hab 46 m Planta 5 interior con ascensor,Piso,"Goya, Madrid",2 hab, 46 m
14,Piso en plaza de Arteijo  13  Pilar  Madrid,750,1 hab 40 m Planta 3 exterior con ascensor 14 horas,Piso,"Pilar, Madrid",1 hab, 40 m
15,Piso en paseo de la Infanta Isabel  Jerónimos  Madrid,1990,4 hab 79 m Planta 3 exterior con ascensor,Piso,"Los Jerónimos, Madrid",4 hab, 79 m
16,Piso en Serrano  112  Castellana  Madrid,7650,3 hab 241 m Planta 3 exterior con ascensor 14 horas,Piso,"Castellana, Madrid",3 hab, 241 m
17,Dúplex en calle del Príncipe de Vergara  Castellana  Madrid,1800,1 hab 82 m Planta 6 exterior con ascensor,Dúplex,"Castellana, Madrid",1 hab, 82 m
18,Ático en calle Ferraz  37  Argüelles  Madrid,2000,3 hab 125 m Planta 7 exterior con ascensor 14 horas,Ático,"Argüelles, Madrid",3 hab, 125 m
19,Piso en calle de Pavía  Palacio  Madrid,2900,2 hab 134 m Planta 4 exterior con ascensor,Piso,"Palacio, Madrid",2 hab, 134 m
20,Piso en calle de Antonio de Leyva  76  Opañel  Madrid,930,1 hab 56 m Planta 4 exterior con ascensor 14 horas,Piso,"Opañel, Madrid",1 hab, 56 m
21,Piso en yecora  Rejas  Madrid,1400,2 hab 105 m Planta 3 exterior con ascensor,Piso,"Rejas, Madrid",2 hab, 105 m
22,Ático en San Carlos  6  LavapiésEmbajadores  Madrid,2430,2 hab 82 m Planta 2 exterior con ascensor 14 horas,Ático,"Embajadores, Madrid",2 hab, 82 m
23,Piso en calle de Lope de Vega  HuertasCortes  Madrid,1800,1 hab 79 m Semisótano exterior sin ascensor,Piso,"Cortes, Madrid",1 hab, 79 m
24,Piso en plaza de Corcubión  1  Pilar  Madrid,950,2 hab 52 m Planta 3 exterior con ascensor 14 horas,Piso,"Pilar, Madrid",2 hab, 52 m
25,Piso en avenida de los Andes  Conde OrgazPiovera  Madrid,3100,3 hab 153 m Planta 2 exterior con ascensor,Piso,"Piovera, Madrid",3 hab, 153 m
26,Dúplex en calle de Vallehermoso  104  Vallehermoso  Madrid,980,1 hab 45 m Planta 6 interior con ascensor 14 horas,Dúplex,"Vallehermoso, Madrid",1 hab, 45 m
27,Piso en avenida de los Madroños  Conde OrgazPiovera  Madrid,4500,4 hab 224 m Planta 2 exterior con ascensor,Piso,"Piovera, Madrid",4 hab, 224 m
28,Piso en calle de las Delicias  Palos de Moguer  Madrid,1900,3 hab 81 m Planta 3 exterior sin ascensor 15 horas,Piso,"Palos de Moguer, Madrid",3 hab, 81 m
29,Estudio en calle de Lagasca  Recoletos  Madrid,1200,38 m Planta 3 interior con ascensor,Estudio,"Recoletos, Madrid",0 estudio,0 estudio
0,Piso en calle Cabo Nicolás Mur  San Isidro  Madrid,895,3 hab 75 m Planta 2 exterior sin ascensor 15 horas,Piso,"San Isidro, Madrid",3 hab, 75 m
1,Ático en calle de Arganzuela  LavapiésEmbajadores  Madrid,3100,2 hab 158 m Planta 5 exterior con ascensor,Ático,"Embajadores, Madrid",2 hab, 158 m
2,Piso en calle del Doctor Cortezo  LavapiésEmbajadores  Madrid,2200,4 hab 145 m Planta 4 exterior con ascensor 15 horas,Piso,"Embajadores, Madrid",4 hab, 145 m
3,Ático en plaza del Ángel  HuertasCortes  Madrid,2000,1 hab 54 m Planta 4 exterior con ascensor,Ático,"Cortes, Madrid",1 hab, 54 m
4,Piso en calle de la Infanta Mercedes  Cuatro Caminos  Madrid,1495,3 hab 80 m Planta 7 exterior con ascensor 14 horas,Piso,"Cuatro Caminos, Madrid",3 hab, 80 m
5,Piso en calle de Calatrava  Palacio  Madrid,1875,2 hab 105 m Planta 3 exterior con ascensor,Piso,"Palacio, Madrid",2 hab, 105 m
6,Piso en calle de Fray José Cerdeiriña  Águilas  Madrid,700,2 hab 65 m Planta 5 exterior sin ascensor 15 horas,Piso,"Águilas, Madrid",2 hab, 65 m
7,Piso en calle de Calatrava  Palacio  Madrid,1500,1 hab 67 m Planta 3 exterior con ascensor,Piso,"Palacio, Madrid",1 hab, 67 m
8,Piso en calle villamanin  Lucero  Madrid,1100,3 hab 90 m Planta 11 exterior con ascensor 14 horas,Piso,"Lucero, Madrid",3 hab, 90 m
9,Estudio en calle de Arganzuela  LavapiésEmbajadores  Madrid,1400,67 m Planta 2 exterior con ascensor,Estudio,"Embajadores, Madrid",0 estudio,0 estudio
10,Piso en calle del Apóstol Santiago  68  Ventas  Madrid,890,1 hab 58 m Planta 5 exterior con ascensor 15 horas,Piso,"Ventas, Madrid",1 hab, 58 m
11,Piso en calle de Arganzuela  LavapiésEmbajadores  Madrid,1550,1 hab 78 m Planta 4 exterior con ascensor,Piso,"Embajadores, Madrid",1 hab, 78 m
12,Piso en Poeta Joan Maragall  CuzcoCastillejos  Madrid,2700,2 hab 89 m Planta 18 exterior con ascensor 14 horas,Piso,"Castillejos, Madrid",2 hab, 89 m
13,Piso en calle del Carmen  Sol  Madrid,2700,3 hab 95 m Planta 4 exterior con ascensor,Piso,"Sol, Madrid",3 hab, 95 m
14,Piso en Nuñez de Balboa  56  Recoletos  Madrid,2700,1 hab 70 m Planta 2 exterior con ascensor 15 horas,Piso,"Recoletos, Madrid",1 hab, 70 m
15,Piso en calle de Alejandro Saint Aubin  Chopera  Madrid,1900,2 hab 53 m Planta 2 exterior con ascensor,Piso,"Chopera, Madrid",2 hab, 53 m
16,Dúplex en Mirasierra  Madrid,2800,3 hab 281 m Planta 3 exterior con ascensor 12 horas,Dúplex,"Mirasierra, Madrid",3 hab, 281 m
17,Piso en Guindalera  Madrid,1800,3 hab 125 m Planta 1 exterior con ascensor,Piso,"Guindalera, Madrid",3 hab, 125 m
18,Piso en calle de la Oca  Vista Alegre  Madrid,945,2 hab 56 m Planta 3 exterior con ascensor 16 horas,Piso,"Vista Alegre, Madrid",2 hab, 56 m
19,Piso en calle de Barrilero  Adelfas  Madrid,1400,2 hab 80 m Planta 2 exterior con ascensor,Piso,"Adelfas, Madrid",2 hab, 80 m
